TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,34.0,32.0,92,29.92,10.0,North,8.1,18.4,0.00,,Overcast,10,2012-02-20 05:51:00
1:51 AM,34.0,30.9,89,29.96,10.0,Variable,5.8,-,N/A,,Overcast,0,2012-02-20 06:51:00
2:51 AM,34.0,30.9,89,29.99,10.0,North,8.1,-,N/A,,Overcast,10,2012-02-20 07:51:00
3:51 AM,34.0,30.9,89,30.00,10.0,Variable,4.6,-,N/A,,Overcast,0,2012-02-20 08:51:00
4:51 AM,34.0,30.9,89,30.03,10.0,NNE,6.9,-,N/A,,Mostly Cloudy,20,2012-02-20 09:51:00
5:25 AM,33.8,30.2,87,30.05,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2012-02-20 10:25:00
5:51 AM,34.0,30.9,89,30.09,10.0,NW,3.5,-,N/A,,Partly Cloudy,310,2012-02-20 10:51:00
6:51 AM,32.0,30.0,92,30.13,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-02-20 11:51:00
7:51 AM,33.1,30.9,92,30.17,8.0,NW,3.5,-,N/A,,Clear,310,2012-02-20 12:51:00
8:51 AM,37.0,30.0,76,30.19,10.0,North,8.1,-,N/A,,Clear,10,2012-02-20 13:51:00
9:51 AM,41.0,28.9,62,30.23,10.0,NNE,10.4,17.3,N/A,,Clear,20,2012-02-20 14:51:00
10:51 AM,43.0,28.0,56,30.25,10.0,NNE,11.5,18.4,N/A,,Partly Cloudy,20,2012-02-20 15:51:00
11:51 AM,45.0,28.9,53,30.25,10.0,NE,16.1,19.6,N/A,,Partly Cloudy,40,2012-02-20 16:51:00
12:51 PM,46.0,27.0,47,30.25,10.0,NNE,13.8,19.6,N/A,,Partly Cloudy,30,2012-02-20 17:51:00
1:51 PM,48.9,28.0,44,30.25,10.0,NNE,9.2,-,N/A,,Partly Cloudy,20,2012-02-20 18:51:00
2:51 PM,48.0,26.1,42,30.26,10.0,Variable,5.8,-,N/A,,Partly Cloudy,0,2012-02-20 19:51:00
3:51 PM,48.9,28.0,44,30.26,10.0,Variable,5.8,-,N/A,,Clear,0,2012-02-20 20:51:00
4:51 PM,48.9,28.0,44,30.26,10.0,Variable,3.5,-,N/A,,Partly Cloudy,0,2012-02-20 21:51:00
5:51 PM,44.1,28.0,53,30.29,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-02-20 22:51:00
6:51 PM,41.0,30.0,65,30.31,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-02-20 23:51:00
7:51 PM,37.0,28.9,73,30.32,10.0,Calm,Calm,-,N/A,,Clear,0,2012-02-21 00:51:00
8:51 PM,36.0,28.9,76,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2012-02-21 01:51:00
9:51 PM,34.0,28.0,79,30.35,10.0,Calm,Calm,-,N/A,,Clear,0,2012-02-21 02:51:00
10:51 PM,32.0,27.0,82,30.37,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-02-21 03:51:00
11:51 PM,30.9,28.0,89,30.35,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-02-21 04:51:00
