TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,60.1,55.9,86,29.87,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-04-21 04:51:00
1:51 AM,57.9,55.9,93,29.86,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-04-21 05:51:00
2:51 AM,55.9,54.0,93,29.85,8.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-04-21 06:51:00
3:51 AM,57.0,55.0,93,29.84,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-04-21 07:51:00
4:51 AM,55.9,55.0,97,29.82,6.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-04-21 08:51:00
5:51 AM,57.2,55.4,94,29.83,6.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-04-21 09:51:00
6:51 AM,57.9,55.9,93,29.83,6.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-04-21 10:51:00
7:27 AM,60.8,59.0,94,29.84,6.0,SSW,5.8,-,N/A,,Mostly Cloudy,210,2012-04-21 11:27:00
7:51 AM,62.1,60.1,93,29.83,6.0,WSW,4.6,-,N/A,,Mostly Cloudy,240,2012-04-21 11:51:00
8:51 AM,66.0,62.1,87,29.82,7.0,SW,5.8,-,N/A,,Mostly Cloudy,230,2012-04-21 12:51:00
9:51 AM,70.0,61.0,73,29.83,9.0,WSW,9.2,-,N/A,,Mostly Cloudy,240,2012-04-21 13:51:00
10:11 AM,69.8,60.8,73,29.84,9.0,SW,6.9,-,N/A,,Mostly Cloudy,230,2012-04-21 14:11:00
10:51 AM,71.1,61.0,70,29.83,10.0,SW,11.5,-,N/A,,Mostly Cloudy,220,2012-04-21 14:51:00
11:51 AM,73.0,63.0,71,29.82,10.0,WSW,9.2,-,N/A,,Mostly Cloudy,240,2012-04-21 15:51:00
12:51 PM,77.0,63.0,62,29.79,10.0,SSW,10.4,18.4,N/A,,Mostly Cloudy,200,2012-04-21 16:51:00
1:51 PM,77.0,62.1,60,29.78,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,210,2012-04-21 17:51:00
2:51 PM,78.1,61.0,56,29.75,10.0,SSW,6.9,-,N/A,,Mostly Cloudy,200,2012-04-21 18:51:00
3:51 PM,78.1,61.0,56,29.72,10.0,South,11.5,-,N/A,,Mostly Cloudy,190,2012-04-21 19:51:00
4:51 PM,78.1,60.1,54,29.70,10.0,South,10.4,-,N/A,,Mostly Cloudy,170,2012-04-21 20:51:00
5:51 PM,78.1,59.0,52,29.69,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2012-04-21 21:51:00
6:51 PM,75.9,60.1,58,29.70,10.0,South,5.8,-,N/A,,Overcast,180,2012-04-21 22:51:00
7:51 PM,73.9,62.1,66,29.71,10.0,South,3.5,-,N/A,,Overcast,170,2012-04-21 23:51:00
8:51 PM,73.0,61.0,66,29.71,10.0,South,8.1,-,N/A,,Overcast,170,2012-04-22 00:51:00
9:51 PM,70.0,63.0,78,29.73,10.0,SSW,10.4,19.6,0.00,Rain,Light Rain,200,2012-04-22 01:51:00
10:51 PM,68.0,63.0,84,29.74,10.0,NNW,6.9,-,0.01,,Overcast,340,2012-04-22 02:51:00
11:23 PM,64.4,60.8,88,29.75,10.0,Variable,4.6,16.1,N/A,,Overcast,0,2012-04-22 03:23:00
11:51 PM,63.0,60.1,90,29.73,10.0,NE,4.6,-,0.00,Rain,Light Rain,40,2012-04-22 03:51:00
