TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,71.1,61.0,70,30.22,10.0,SW,9.2,-,N/A,,Clear,220,2013-05-30 04:51:00
1:51 AM,69.1,62.1,78,30.22,10.0,SW,8.1,-,N/A,,Clear,220,2013-05-30 05:51:00
2:51 AM,66.9,62.1,84,30.22,10.0,SW,6.9,-,N/A,,Clear,220,2013-05-30 06:51:00
3:51 AM,64.9,61.0,87,30.22,10.0,Calm,Calm,-,N/A,,Clear,0,2013-05-30 07:51:00
4:51 AM,64.9,61.0,87,30.22,10.0,Calm,Calm,-,N/A,,Clear,0,2013-05-30 08:51:00
5:51 AM,64.9,62.1,90,30.25,10.0,WSW,3.5,-,N/A,,Clear,240,2013-05-30 09:51:00
6:51 AM,64.9,62.1,90,30.25,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-05-30 10:51:00
7:51 AM,69.1,64.0,84,30.26,10.0,SW,5.8,-,N/A,,Partly Cloudy,220,2013-05-30 11:51:00
8:51 AM,73.0,64.9,76,30.28,10.0,SW,11.5,-,N/A,,Scattered Clouds,230,2013-05-30 12:51:00
9:51 AM,75.9,64.9,69,30.27,10.0,SW,6.9,-,N/A,,Scattered Clouds,230,2013-05-30 13:51:00
10:51 AM,78.1,64.9,64,30.27,10.0,WSW,10.4,-,N/A,,Scattered Clouds,240,2013-05-30 14:51:00
11:51 AM,81.0,66.0,60,30.27,10.0,WSW,6.9,-,N/A,,Scattered Clouds,240,2013-05-30 15:51:00
12:51 PM,82.0,64.9,56,30.26,10.0,WSW,10.4,-,N/A,,Scattered Clouds,240,2013-05-30 16:51:00
1:51 PM,84.0,61.0,46,30.23,10.0,SSW,9.2,-,N/A,,Scattered Clouds,200,2013-05-30 17:51:00
2:51 PM,84.9,63.0,48,30.22,10.0,WSW,6.9,-,N/A,,Scattered Clouds,250,2013-05-30 18:51:00
3:51 PM,86.0,60.1,41,30.20,10.0,South,4.6,-,N/A,,Scattered Clouds,190,2013-05-30 19:51:00
4:51 PM,84.9,59.0,41,30.19,10.0,South,4.6,-,N/A,,Scattered Clouds,180,2013-05-30 20:51:00
5:51 PM,84.9,63.0,48,30.18,10.0,SW,4.6,-,N/A,,Scattered Clouds,230,2013-05-30 21:51:00
6:51 PM,84.0,62.1,47,30.19,10.0,WSW,3.5,-,N/A,,Scattered Clouds,240,2013-05-30 22:51:00
7:51 PM,79.0,62.1,56,30.19,10.0,WSW,3.5,-,N/A,,Scattered Clouds,250,2013-05-30 23:51:00
8:51 PM,75.0,64.0,69,30.18,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-05-31 00:51:00
9:51 PM,71.1,63.0,75,30.19,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-05-31 01:51:00
10:51 PM,75.9,64.0,67,30.20,10.0,SSE,8.1,-,N/A,,Scattered Clouds,160,2013-05-31 02:51:00
11:51 PM,75.0,64.9,71,30.20,10.0,South,8.1,-,N/A,,Scattered Clouds,190,2013-05-31 03:51:00
