TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,68.0,64.0,87,30.04,10.0,SSW,11.5,18.4,0.00,Rain,Light Rain,200,2013-12-23 05:51:00
1:06 AM,68.0,64.4,88,30.06,3.0,SW,10.4,-,0.01,Rain,Light Rain,220,2013-12-23 06:06:00
1:18 AM,66.2,64.4,94,30.07,3.0,WSW,9.2,-,0.06,Rain,Light Rain,240,2013-12-23 06:18:00
1:39 AM,66.2,64.4,94,30.08,10.0,WSW,6.9,-,0.10,,Overcast,250,2013-12-23 06:39:00
1:51 AM,64.9,63.0,93,30.06,10.0,SW,9.2,-,0.10,,Overcast,220,2013-12-23 06:51:00
2:51 AM,64.9,64.0,97,30.06,5.0,SSW,9.2,-,0.03,Rain,Rain,210,2013-12-23 07:51:00
2:57 AM,64.4,64.4,100,30.07,2.5,SSW,5.8,-,0.07,Rain,Rain,210,2013-12-23 07:57:00
3:15 AM,64.4,64.4,100,30.08,10.0,SSW,10.4,-,0.17,Rain,Light Rain,200,2013-12-23 08:15:00
3:51 AM,64.0,63.0,96,30.06,5.0,South,9.2,-,0.29,Rain,Light Rain,190,2013-12-23 08:51:00
4:51 AM,64.0,62.1,93,30.04,7.0,SSW,9.2,-,0.13,Rain,Light Rain,210,2013-12-23 09:51:00
5:18 AM,64.4,62.6,94,30.04,10.0,South,6.9,-,0.06,Rain,Light Rain,190,2013-12-23 10:18:00
5:51 AM,64.0,62.1,93,30.03,10.0,South,6.9,-,0.11,,Overcast,170,2013-12-23 10:51:00
6:18 AM,64.4,62.6,94,30.04,10.0,South,4.6,-,N/A,,Overcast,180,2013-12-23 11:18:00
6:39 AM,64.4,62.6,94,30.03,10.0,South,6.9,-,N/A,,Overcast,180,2013-12-23 11:39:00
6:51 AM,66.0,64.0,93,30.03,10.0,SSW,9.2,-,N/A,,Overcast,200,2013-12-23 11:51:00
7:38 AM,66.2,64.4,94,30.05,1.0,West,5.8,-,0.04,Rain,Heavy Rain,260,2013-12-23 12:38:00
7:51 AM,66.9,64.9,93,30.06,1.0,SW,19.6,29.9,0.44,Rain,Heavy Rain,230,2013-12-23 12:51:00
8:20 AM,64.4,62.6,94,30.07,3.0,WSW,9.2,-,0.22,Rain,Rain,240,2013-12-23 13:20:00
8:51 AM,64.9,63.0,93,30.07,10.0,WSW,11.5,-,0.23,,Overcast,240,2013-12-23 13:51:00
9:51 AM,64.9,63.0,93,30.06,10.0,SW,12.7,-,0.04,,Overcast,220,2013-12-23 14:51:00
