TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,28.0,24.1,85,30.51,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 05:51:00
1:51 AM,30.2,24.8,80,30.49,10.0,SSE,3.5,-,N/A,,Clear,150,2013-01-19 06:51:00
2:51 AM,30.9,24.1,76,30.50,10.0,SSE,3.5,-,N/A,,Clear,160,2013-01-19 07:51:00
3:51 AM,32.0,21.9,66,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 08:51:00
4:51 AM,28.9,23.0,78,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 09:51:00
5:51 AM,27.0,21.9,81,30.49,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 10:51:00
6:51 AM,26.1,23.0,88,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 11:51:00
7:51 AM,26.1,23.0,88,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 12:51:00
8:51 AM,32.0,27.0,82,30.48,10.0,Calm,Calm,-,N/A,,Clear,0,2013-01-19 13:51:00
9:51 AM,37.9,27.0,65,30.49,10.0,WNW,3.5,-,N/A,,Clear,290,2013-01-19 14:51:00
10:51 AM,43.0,28.9,58,30.46,10.0,SW,8.1,-,N/A,,Clear,220,2013-01-19 15:51:00
11:51 AM,46.0,28.0,50,30.40,10.0,SSW,3.5,-,N/A,,Clear,200,2013-01-19 16:51:00
12:51 PM,50.0,30.0,46,30.36,10.0,Variable,5.8,-,N/A,,Partly Cloudy,0,2013-01-19 17:51:00
1:51 PM,52.0,28.0,40,30.31,10.0,SW,8.1,-,N/A,,Partly Cloudy,230,2013-01-19 18:51:00
2:51 PM,53.1,28.0,38,30.28,10.0,SW,11.5,-,N/A,,Partly Cloudy,230,2013-01-19 19:51:00
3:51 PM,53.1,27.0,37,30.27,10.0,SW,8.1,-,N/A,,Partly Cloudy,220,2013-01-19 20:51:00
4:51 PM,51.1,27.0,39,30.25,10.0,SW,8.1,-,N/A,,Partly Cloudy,220,2013-01-19 21:51:00
5:51 PM,46.0,27.0,47,30.23,10.0,South,4.6,-,N/A,,Partly Cloudy,180,2013-01-19 22:51:00
6:51 PM,44.1,27.0,51,30.24,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-01-19 23:51:00
7:51 PM,41.0,28.0,60,30.24,10.0,SSW,3.5,-,N/A,,Partly Cloudy,210,2013-01-20 00:51:00
8:51 PM,42.1,27.0,55,30.23,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-01-20 01:51:00
9:51 PM,41.0,28.0,60,30.20,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-01-20 02:51:00
10:51 PM,39.0,28.0,65,30.18,10.0,WSW,4.6,-,N/A,,Mostly Cloudy,240,2013-01-20 03:51:00
11:51 PM,37.0,30.0,76,30.16,10.0,SW,9.2,-,N/A,,Mostly Cloudy,230,2013-01-20 04:51:00
