TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,78.1,73.0,84,30.10,10.0,SW,6.9,-,N/A,,Scattered Clouds,230,2012-09-01 04:51:00
1:51 AM,77.0,73.0,88,30.09,10.0,SW,5.8,-,N/A,,Scattered Clouds,230,2012-09-01 05:51:00
2:51 AM,75.0,72.0,90,30.09,10.0,SW,4.6,-,N/A,,Partly Cloudy,230,2012-09-01 06:51:00
3:51 AM,75.0,72.0,90,30.08,10.0,SW,4.6,-,N/A,,Partly Cloudy,230,2012-09-01 07:51:00
4:51 AM,73.9,72.0,93,30.07,10.0,WSW,4.6,-,N/A,,Partly Cloudy,240,2012-09-01 08:51:00
5:51 AM,73.9,71.1,91,30.08,10.0,WSW,3.5,-,N/A,,Scattered Clouds,240,2012-09-01 09:51:00
6:51 AM,73.9,72.0,93,30.09,10.0,SW,3.5,-,N/A,,Scattered Clouds,230,2012-09-01 10:51:00
7:51 AM,75.9,73.0,91,30.11,10.0,SW,3.5,-,N/A,,Scattered Clouds,220,2012-09-01 11:51:00
8:51 AM,81.0,73.9,79,30.12,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-09-01 12:51:00
9:51 AM,87.1,72.0,61,30.11,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-09-01 13:51:00
10:51 AM,89.1,73.0,59,30.12,10.0,NNW,4.6,-,N/A,,Mostly Cloudy,340,2012-09-01 14:51:00
11:51 AM,88.0,73.0,61,30.12,10.0,NE,9.2,-,N/A,,Mostly Cloudy,40,2012-09-01 15:51:00
12:51 PM,91.0,73.0,55,30.12,10.0,North,8.1,-,N/A,,Mostly Cloudy,360,2012-09-01 16:51:00
1:51 PM,91.0,73.0,55,30.10,10.0,NNE,6.9,16.1,N/A,,Mostly Cloudy,20,2012-09-01 17:51:00
2:51 PM,91.0,72.0,53,30.07,10.0,NNE,6.9,16.1,N/A,,Mostly Cloudy,30,2012-09-01 18:51:00
3:51 PM,90.0,70.0,52,30.06,10.0,ENE,10.4,-,N/A,,Mostly Cloudy,70,2012-09-01 19:51:00
4:51 PM,90.0,70.0,52,30.04,10.0,Variable,3.5,-,N/A,,Mostly Cloudy,0,2012-09-01 20:51:00
5:51 PM,89.1,70.0,53,30.04,10.0,East,5.8,-,N/A,,Mostly Cloudy,80,2012-09-01 21:51:00
6:51 PM,87.1,69.1,55,30.04,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-01 22:51:00
7:51 PM,82.0,70.0,67,30.05,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-01 23:51:00
8:51 PM,82.0,72.0,71,30.05,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-02 00:51:00
9:51 PM,79.0,72.0,79,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-02 01:51:00
10:51 PM,78.1,73.0,84,30.05,10.0,ENE,4.6,-,N/A,,Mostly Cloudy,70,2012-09-02 02:51:00
11:51 PM,79.0,72.0,79,30.04,10.0,East,3.5,-,N/A,,Mostly Cloudy,100,2012-09-02 03:51:00
