TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,37.9,25.0,60,30.00,10.0,SW,9.2,-,N/A,,Scattered Clouds,220,2015-01-30 05:51:00
1:51 AM,39.9,25.0,55,30.00,10.0,WNW,4.6,-,N/A,,Scattered Clouds,300,2015-01-30 06:51:00
2:51 AM,37.9,26.1,62,29.98,10.0,SW,4.6,-,N/A,,Mostly Cloudy,230,2015-01-30 07:51:00
3:51 AM,37.9,27.0,65,29.96,10.0,SW,5.8,-,N/A,,Overcast,220,2015-01-30 08:51:00
4:51 AM,39.0,28.0,65,29.97,10.0,SW,3.5,-,0.00,Rain,Light Rain,230,2015-01-30 09:51:00
5:51 AM,39.9,27.0,60,29.99,10.0,WNW,3.5,-,0.00,,Mostly Cloudy,290,2015-01-30 10:51:00
6:51 AM,41.0,27.0,57,30.01,10.0,Variable,4.6,-,N/A,,Partly Cloudy,0,2015-01-30 11:51:00
7:51 AM,42.1,25.0,51,30.04,10.0,Variable,6.9,-,N/A,,Scattered Clouds,0,2015-01-30 12:51:00
8:51 AM,43.0,21.9,43,30.06,10.0,North,10.4,27.6,N/A,,Partly Cloudy,350,2015-01-30 13:51:00
9:51 AM,43.0,21.0,42,30.10,10.0,Variable,6.9,26.5,N/A,,Scattered Clouds,0,2015-01-30 14:51:00
10:51 AM,44.1,19.0,37,30.12,10.0,NW,15.0,24.2,N/A,,Mostly Cloudy,310,2015-01-30 15:51:00
11:51 AM,45.0,18.0,34,30.11,10.0,WNW,12.7,21.9,N/A,,Mostly Cloudy,300,2015-01-30 16:51:00
12:51 PM,46.0,19.9,35,30.10,10.0,NW,13.8,25.3,N/A,,Scattered Clouds,320,2015-01-30 17:51:00
1:51 PM,46.9,16.0,29,30.09,10.0,NW,13.8,27.6,N/A,,Scattered Clouds,310,2015-01-30 18:51:00
2:51 PM,46.9,15.1,28,30.10,10.0,Variable,6.9,20.7,N/A,,Scattered Clouds,0,2015-01-30 19:51:00
3:51 PM,46.0,12.9,26,30.13,10.0,NNW,13.8,21.9,N/A,,Scattered Clouds,330,2015-01-30 20:51:00
4:51 PM,44.1,12.0,27,30.15,10.0,NNW,11.5,21.9,N/A,,Partly Cloudy,330,2015-01-30 21:51:00
5:51 PM,39.9,12.0,32,30.19,10.0,NNW,8.1,27.6,N/A,,Partly Cloudy,330,2015-01-30 22:51:00
6:51 PM,37.0,8.1,30,30.23,10.0,NNW,8.1,-,N/A,,Partly Cloudy,340,2015-01-30 23:51:00
7:51 PM,36.0,7.0,30,30.25,10.0,Variable,5.8,-,N/A,,Clear,0,2015-01-31 00:51:00
8:51 PM,33.1,7.0,34,30.28,10.0,NNW,5.8,-,N/A,,Clear,340,2015-01-31 01:51:00
9:51 PM,32.0,7.0,35,30.30,10.0,NW,8.1,-,N/A,,Partly Cloudy,320,2015-01-31 02:51:00
10:51 PM,30.9,6.1,35,30.32,10.0,Variable,4.6,-,N/A,,Partly Cloudy,0,2015-01-31 03:51:00
11:51 PM,28.9,7.0,40,30.32,10.0,WNW,3.5,-,N/A,,Partly Cloudy,300,2015-01-31 04:51:00
