TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,71.1,62.1,73,29.98,10.0,Variable,3.5,-,0.00,,Mostly Cloudy,0,2012-09-23 04:51:00
1:51 AM,70.0,62.1,76,29.99,10.0,Calm,Calm,-,0.00,,Mostly Cloudy,0,2012-09-23 05:51:00
2:51 AM,70.0,59.0,68,30.00,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2012-09-23 06:51:00
3:51 AM,68.0,53.6,60,30.02,10.0,NNE,3.5,-,N/A,,Scattered Clouds,20,2012-09-23 07:51:00
4:51 AM,64.9,52.0,63,30.01,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-09-23 08:51:00
5:51 AM,64.9,51.1,61,30.04,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-23 09:51:00
6:51 AM,64.0,48.9,58,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2012-09-23 10:51:00
7:51 AM,62.1,50.0,65,30.08,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2012-09-23 11:51:00
8:51 AM,64.4,48.2,56,30.11,10.0,NNE,6.9,-,N/A,,Mostly Cloudy,20,2012-09-23 12:51:00
9:51 AM,68.0,46.0,45,30.11,10.0,Variable,6.9,-,N/A,,Mostly Cloudy,0,2012-09-23 13:51:00
10:51 AM,70.0,45.0,41,30.12,10.0,NNE,8.1,-,N/A,,Partly Cloudy,30,2012-09-23 14:51:00
11:51 AM,71.1,42.1,35,30.12,10.0,North,5.8,-,N/A,,Partly Cloudy,350,2012-09-23 15:51:00
12:51 PM,72.0,39.0,30,30.11,10.0,Variable,4.6,-,N/A,,Partly Cloudy,0,2012-09-23 16:51:00
1:51 PM,73.0,42.1,33,30.09,10.0,Variable,3.5,-,N/A,,Clear,0,2012-09-23 17:51:00
2:51 PM,73.0,42.1,33,30.08,10.0,ENE,4.6,-,N/A,,Clear,70,2012-09-23 18:51:00
3:51 PM,73.0,42.1,33,30.07,10.0,Calm,Calm,-,N/A,,Clear,0,2012-09-23 19:51:00
4:51 PM,73.9,42.1,32,30.07,10.0,Variable,5.8,-,N/A,,Clear,0,2012-09-23 20:51:00
5:51 PM,73.0,43.0,34,30.08,10.0,Calm,Calm,-,N/A,,Clear,0,2012-09-23 21:51:00
6:51 PM,69.8,44.6,40,30.10,10.0,North,3.5,-,N/A,,Clear,10,2012-09-23 22:51:00
7:51 PM,62.1,48.9,62,30.11,10.0,Calm,Calm,-,N/A,,Clear,0,2012-09-23 23:51:00
8:51 PM,61.0,48.9,64,30.12,10.0,East,3.5,-,N/A,,Clear,80,2012-09-24 00:51:00
9:51 PM,59.0,50.0,72,30.13,10.0,Calm,Calm,-,N/A,,Clear,0,2012-09-24 01:51:00
10:51 PM,57.9,48.0,70,30.12,10.0,ESE,3.5,-,N/A,,Clear,110,2012-09-24 02:51:00
11:51 PM,55.0,48.9,80,30.13,10.0,Calm,Calm,-,N/A,,Clear,0,2012-09-24 03:51:00
