TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,30.0,15.1,54,29.99,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-03-04 05:51:00
1:51 AM,28.9,14.0,54,29.99,10.0,Calm,Calm,-,N/A,,Clear,0,2013-03-04 06:51:00
2:51 AM,28.9,12.0,49,30.00,10.0,Calm,Calm,-,N/A,,Clear,0,2013-03-04 07:51:00
3:51 AM,28.4,10.4,47,30.00,10.0,Variable,5.8,-,N/A,,Partly Cloudy,0,2013-03-04 08:51:00
4:51 AM,28.0,10.9,49,30.03,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-03-04 09:51:00
5:51 AM,27.0,12.0,53,30.05,10.0,NW,3.5,-,N/A,,Clear,310,2013-03-04 10:51:00
6:51 AM,26.6,12.2,55,30.07,10.0,West,3.5,-,N/A,,Clear,280,2013-03-04 11:51:00
7:51 AM,28.9,14.0,54,30.10,10.0,West,4.6,-,N/A,,Clear,280,2013-03-04 12:51:00
8:51 AM,33.1,14.0,46,30.12,10.0,NW,9.2,-,N/A,,Clear,320,2013-03-04 13:51:00
9:51 AM,35.1,12.9,40,30.12,10.0,WNW,10.4,25.3,N/A,,Clear,300,2013-03-04 14:51:00
10:51 AM,37.9,12.9,36,30.11,10.0,West,10.4,16.1,N/A,,Clear,280,2013-03-04 15:51:00
11:51 AM,39.9,12.0,32,30.09,10.0,WNW,6.9,20.7,N/A,,Partly Cloudy,290,2013-03-04 16:51:00
12:51 PM,44.6,12.2,27,30.06,10.0,WNW,10.4,-,N/A,,Scattered Clouds,290,2013-03-04 17:51:00
1:51 PM,46.4,12.2,25,30.04,10.0,West,9.2,18.4,N/A,,Partly Cloudy,280,2013-03-04 18:51:00
2:51 PM,46.4,12.2,25,30.02,10.0,WNW,10.4,-,N/A,,Partly Cloudy,290,2013-03-04 19:51:00
3:51 PM,48.9,12.0,23,30.02,10.0,WNW,9.2,-,N/A,,Partly Cloudy,290,2013-03-04 20:51:00
4:51 PM,50.0,12.9,23,30.02,10.0,Variable,5.8,-,N/A,,Clear,0,2013-03-04 21:51:00
5:51 PM,46.9,14.0,27,30.05,10.0,West,3.5,-,N/A,,Clear,270,2013-03-04 22:51:00
6:51 PM,42.1,15.1,34,30.06,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-03-04 23:51:00
7:51 PM,37.9,19.0,47,30.06,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-03-05 00:51:00
8:51 PM,39.0,17.1,41,30.07,10.0,West,3.5,-,N/A,,Partly Cloudy,260,2013-03-05 01:51:00
9:51 PM,35.6,17.6,48,30.06,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-03-05 02:51:00
10:51 PM,36.0,18.0,48,30.08,10.0,SW,3.5,-,N/A,,Mostly Cloudy,220,2013-03-05 03:51:00
11:51 PM,37.9,17.1,43,30.07,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-03-05 04:51:00
