"Beckert, Sven",Empire of Cotton,history
"Buckley, Carla",The Deepest Secret,mystery
"Carcaterra, Lorenzo",Chasers,mystery
"Catton, Bruce",The Army of the Potomac: The Glory Road,military
"Cohen, Gabriel",The Ninth Step,mystery
"Darwin, Charles",Origin of Species,science
"Ho, Yong",China: An Illustrated History,history
"James, Henry",Daisy Miller,novel
"Larsson, Stieg",The Girl who played with fire,novel
"Lewis, Michael",Liar's Poker: rising through the wreckage on Wall Street,economics
"Messenger, Bill",Elements of Jazz: From Cakewalks to Fusion,music
"Paulos, John Allen",Innumeracy,mathematics
"Penzler, Otto, ed.",Murder at the Racetrack ,mystery
"Pintoff, Stefanie",Secret of the White Rose,mystery
"Post, Robert C.","Democracy, Expertise, Academic Freedom",law
"Solzhenitsyn, Alexander",One Day in the Life of Ivan Denisovich,novel
"Torrence, Bruce F. and Eve A.",The Student's Introduction to Mathematica,mathematics
"Woods, Stewart",Mounting Fears,novel
